Review,Liked
"No company is perfect. While growing lot more things that are evolving that comes along with any growing company. It is important to not get hung up on what's wrong, but to focus on what is happening that is right and the progress in action that supports that.""
"As a Fresher there is lot of learning.Senior team members helps in every possible way.Everyone is easily approchable."
"Frequent outings.Tech stack is good in all teams. 3. People are supportive in most of the teams. 4. Hr team is good, they take good care of their employees. 5. Good Hikes , around 25-30% every year."
"The off campus placement process was quite nice. And the interviewers were very friendly. They never expect you to know everything but you should definitely be having knowledge of data structures and algorithms with problem solving skills. They will also help you out during the interview and will judge you on your overall skills."
"People are extremely knowledgeable Follow coding standards Works hard, party harder works on juniors improvement Good increments"
"Less work life balance for devs"
"Amazing work culture Very Friendly Excellent mentors Flexible working hours Have a parking space"
"Lot of things are promised but not implemented"
"No company website(no clue why is it so tough)"
"Ok-Ok facilities available"
"With time, too much pressure makes many to work with fear, rather than enjoying the work."
"No own projects, mostly outsourced work is done here."
"Inconsistent policies, Directors will often say something to you and then go back 2 months later.No HR department.No tech culture.Long working hours."
"Good technical work in starting two years of career.Good hike in annual reviews"
"Will get good exposure of web development and chances of learning lot things"
"Ambitious mission, great colleagues, supportive atmosphere."
"Good opportunities for different technical experiences, good work-life balance, good compensation, great coworkers"
"Great pay, good food, fun employees"
"Great place to work, learn new things, grow and innovate. Able to maintain a respectful and healthy workplace culture despite the recent press."
Google is one of the beast Company in the world
Nice perks. Good work life balance
Good work and life balance
Better than average engineers. Competitive compensation.
"Great place to work, free food, and great culture."
"Flexible timings, surrounded by technical experts and platform to grow and new ideas"
"So many brilliant people Tons of resources Working on amazingly cool technologies Great culture - they really care about employees, actively ask for feedback, and act on it (e.g. Set corporate OKR's to improve on problem issues)"
is very good. is very very good
I like and learned from the beginning accounting
"Great place to work, free food, and great culture."
"Flexible timings, surrounded by technical experts and platform to grow and new ideas"
"So many brilliant people Tons of resources Working on amazingly cool technologies Great culture - they really care about employees, actively ask for feedback, and act on it (e.g. Set corporate OKR's to improve on problem issues)"
is very good. is very very good
"Great place to work, learn new things, grow and innovate. Able to maintain a respectful and healthy workplace culture despite the recent press."
Google is one of the beast Company in the world
Nice perks. Good work life balance
Good work and life balance
Better than average engineers. Competitive compensation.
"Google’s perks are great: free food, shuttle to work, stock options, fun offices and amenities. The company is also full of really smart people that I’m constantly learning from."
"The best company I've worked for. Culture, perks, the way people are treated. Very thankful for this experience."
Easy place and people are nice
"Amazing compensation + benefits (hard to beat in Seattle), office space is cozy. Lots of autonomy. Taking initiative on important things is heavily rewarded."
Never have to skip a paycheck.
"Ambitious mission, great colleagues, supportive atmosphere."
"Good opportunities for different technical experiences, good work-life balance, good compensation, great coworkers"
"Great pay, good food, fun employees"
