Review,Liked
"good job security."
"helpful seniors."
"good appraisals."
"client exposure very early in career."
"very good and diverse clientele."
"good opportunity If you get to join the product development team (genesis)."
"soft skills training sessions are great."
"old technology stack."
"poor career growth and less innovation."
"work-life balance totally depends on the client, sometimes might need to work on weekends with no compensatory off."
"pay cut and no appraisals during pandemic even when the company did well with profits."
"high attrition rate so you might be forced to work on someone else's code."
"Well a very dynamic and supportive organisation with a strong focus on products. Looks to compete with the best in class in their domain.Very supportive management. A combination of old school and modern company."
" work in Newgen as an Strategic Alloance Manager. I was fortunate to have a good manager and a good team compared to the other teams. It has gone public last year, therefore the company is still in the process to streamline its activities and structures. Good for sales and marketing but has a very bad office"
"Good company for freshers as they get exposure to products and cases right from the start. People are supportive and help each other in learning. Enough learning opportunities for those who want to learn."
Better than average engineers. Competitive compensation.
"Google’s perks are great: free food, shuttle to work, stock options, fun offices and amenities. The company is also full of really smart people that I’m constantly learning from."
"The best company I've worked for. Culture, perks, the way people are treated. Very thankful for this experience."
Easy place and people are nice
"Amazing compensation + benefits (hard to beat in Seattle), office space is cozy. Lots of autonomy. Taking initiative on important things is heavily rewarded."
Never have to skip a paycheck.
"Ambitious mission, great colleagues, supportive atmosphere."
"Good opportunities for different technical experiences, good work-life balance, good compensation, great coworkers"
"Great pay, good food, fun employees"
